317;Тульская обл, г Ясногорск;Нижегородская обл, г Дзержинск;14.04.2023;21:00;любой
318;Ивановская обл, деревня Большое Ступкино;Ярославская обл., Рыбинск;11.04.2023;00:00;любой
319;Ивановская обл., Палехский р-н, село Майдаково;Ярославская обл., Рыбинск;11.04.2023;00:00;любой
320;Ивановская обл, пос. Палех;Ярославская обл., Рыбинск;11.04.2023;00:00;боковой
321;Тульская обл, г Ясногорск;г Ярославль;13.04.2023;23:00;любой
322;Чеховский р-н, Константиновское;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
323;Ивановская обл, г Фурманов;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
324;Московская обл, г Чехов;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
325;г Иваново;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
326;Ярославская обл., Рыбинск;Ивановская обл, п. Палех;11.04.2023;00:00;любой
327;Владимирская обл., г. Радужный;Тульская обл, г Ясногорск;11.04.2023;15:00;любой
328;Калуга;Ярославская обл., Рыбинск;11.04.2023;00:00;боковой
329;республика Татарстан, Зеленодольск;Ярославская обл., Рыбинск;11.04.2023;00:00;любой
